"Name","Group","Precursors"
"Absinthe","Beverages, Alcoholic","1"
"Acerola","Fruit, Tropical fruits","0"
"Adzuki bean","Pulses and beans","0"
"Alfalfa","Herbs and Spices","7"
"Algae","Aquatic foods","5"
"Almond","Nuts","17"
"American cranberry","Fruit, Berries","30"
"Angelica","Herbs and Spices","1"
"Anise","Herbs and Spices","1"
"Apple","Fruit, Pomes","58"
"Apple cider","Beverages, Alcoholic","11"
"Apple juice","Beverages, Non-alcoholic","25"
"Apple sauce","Confectioneries and desserts","1"
"apple seeds","Fruit, Pomes","1"
"Apricot","Fruit, Drupes","30"
"Apricot kernel","Fruit, Drupes","2"
"Arabica coffee","Coffee and coffee products","4"
"Asian pear","Fruit, Pomes","0"
"Asparagus","Vegetables, Other vegetables","8"
"Avocado","Vegetables, Fruit vegetables","7"
"Azuki bean","Pulses and beans","1"
"Banana","Fruit, Tropical fruits","24"
"Barley","Cereals and cereal products","6"
"Beer","Beverages, Alcoholic","17"
"Bell pepper (Capsicum annuum, mild varieties)","Vegetables, Fruit vegetables","19"
"Bilberry","Fruit, Berries","4"
"Biscuit","Cereals and cereal products","0"
"Bitter Gourd","Vegetables, Gourds","1"
"Bitter melon","Vegetables, Other vegetables","1"
"Black chokeberry","Fruit, Berries","0"
"Black elderberry","Fruit, Berries","0"
"Black mulberry","Fruit, Berries","1"
"Black radish","Vegetables, Root vegetables","0"
"Black salsify","Vegetables, Root vegetables","0"
"Black tea","Teas and herbal teas","38"
"Blackberry","Fruit, Berries","26"
"Blackcurrant","Fruit, Berries","9"
"Blueberry","Fruit, Berries","13"
"Brazil nut","Nuts","6"
"Breadfruit","Fruit, Tropical fruits","0"
"Breakfast cereals","Cereals and cereal products","0"
"Broad bean","Pulses and beans","7"
"Broccoli","Vegetables, Cabbages","52"
"Brussel sprouts","Vegetables, Cabbages","22"
"Bulgur","Cereals and cereal products","0"
"Butternut squash","Vegetables, Gourds","0"
"Cabbage, red","Vegetables, Cabbages","11"
"Cabbage, White","Vegetables, Cabbages","10"
"Camomile tea","Teas and herbal teas","3"
"Canola oil","Fats and oils","1"
"Capers","Herbs and Spices","13"
"Caraway","Herbs and Spices","5"
"Cardamom","Herbs and Spices","1"
"Carrot","Vegetables, Root vegetables","23"
"Cashew nut","Nuts","7"
"Cassava","Vegetables, Tubers","2"
"Cassia cinnamon","Herbs and Spices","1"
"Cauliflower","Vegetables, Cabbages","19"
"Celeriac","Vegetables, Root vegetables","15"
"Celery leaves","Herbs and Spices","1"
"Celery stalks","Vegetables, Other vegetables","4"
"Ceylon tea","Teas and herbal teas","3"
"Chamomile tea","Teas and herbal teas","4"
"Chanterelle","Mushrooms","0"
"Chayote","Vegetables, Gourds","0"
"Cheese","Milk and milk products","20"
"Cherry pit","Fruit, Drupes","2"
"Cherry tomato","Vegetables, Fruit vegetables","12"
"Chervil","Herbs and Spices","2"
"Chestnut","Nuts","1"
"Chewing gum","Confectioneries and desserts","0"
"Chia","Pulses and beans","0"
"Chickpea","Pulses and beans","3"
"Chicory","Vegetables, Root vegetables","4"
"Chicory leaves","Vegetables, Leaf vegetables","0"
"Chicory roots","Vegetables, Root vegetables","0"
"Chinese broccoli","Vegetables, Cabbages","0"
"Chinese cabbage","Vegetables, Cabbages","3"
"Chives","Herbs and Spices","0"
"Chocolate","Cocoa and cocoa products","11"
"Cider","Beverages, Alcoholic","5"
"Cinnamon","Herbs and Spices","2"
"Climbing bean","Pulses and beans","0"
"Cloudberry","Fruit, Berries","0"
"Cloves","Herbs and Spices","2"
"Cocoa","Cocoa and cocoa products","8"
"Cocoa bean","Cocoa and cocoa products","5"
"Cocoa liquor","Cocoa and cocoa products","2"
"Cocoa powder","Cocoa and cocoa products","2"
"Coconut","Fruit, Tropical fruits","1"
"Coffee","Coffee and coffee products","32"
"Common bean","Pulses and beans","9"
"Common beetroot","Vegetables, Root vegetables","6"
"Common buckwheat","Cereals and cereal products","0"
